Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2017,2018,2019,2020,2021,2022,Estimates Start After
Algeria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",170.207,175.372,171.07,147.6,164.564,193.601,2020
Algeria,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Base year: 2001 Primary domestic currency: Algerian dinar Data last updated: 03/2022,193.97,202.253,206.2,211.18,226.44,246.053,2020
Algeria,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,32.04,33.38,32.316,30.128,29.573,30.589,2020
Algeria,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,38.581,37.805,37.895,36.868,33.354,35.597,2020
Algeria,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,21.237,25.649,30.631,43.253,51.447,51.25,2020
Algeria,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,26.808,38.256,46.208,51.324,62.455,56.641,2020
Andorra,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.993,3.217,3.155,2.885,3.33,3.4,2021
Andorra,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2021 Harmonized prices: No Base year: 2017 Primary domestic currency: Euro Data last updated: 03/2022,100.001,101.285,102.036,102.298,104.077,107.062,2021
Andorra,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,37.973,38.476,38.016,40.371,38.934,38.865,2020
Andorra,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,34.646,35.811,35.737,43.189,39.462,37.686,2020
Andorra,General government net debt,Percent of GDP,,,,,,,,,
Andorra,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,37.827,36.345,35.399,46.329,48.507,44.767,2020
Angola,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",122.022,101.353,84.516,58.254,74.495,124.862,2020
Angola,"Inflation, average consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2020 Notes: Historical consumer price index (CPI) and inflation are measured by Angola's national CPI (IPCN) from January 2015 and by the Luanda province CPI up to December 2014. Harmonized prices: No Base year: 2010. Although the base year is reported as 2010, we are currently using December 2010 (=100) as the base month. Primary domestic currency: Angolan kwanza Data last updated: 04/2022",251.795,301.218,352.664,431.227,542.334,672.205,2020
Angola,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,17.516,22.866,21.179,20.937,22.118,21.345,2020
Angola,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,24.103,20.579,20.403,22.831,19.294,18.222,2020
Angola,General government net debt,Percent of GDP,,,,,,,,,
Angola,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,69.323,92.995,113.554,136.826,86.266,57.901,2020
Antigua and Barbuda,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.468,1.606,1.688,1.37,1.459,1.621,2019
Antigua and Barbuda,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2021. Latest data December 2021 Harmonized prices: No Base year: 2019. CPI Index = 100 in January 2019. Primary domestic currency: Eastern Caribbean dollar Data last updated: 03/2022,98.422,99.614,101.04,102.109,103.77,108.314,2021
Antigua and Barbuda,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,20.737,19.815,18.636,20.399,21.071,22.245,2020
Antigua and Barbuda,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,23.577,22.284,22.619,26.761,25.382,26.111,2020
Antigua and Barbuda,General government net debt,Percent of GDP,,,,,,,,,
Antigua and Barbuda,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,92.193,87.7,81.251,101.477,102.234,94.805,2020
Argentina,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",643.861,524.431,451.815,389.064,488.605,564.277,2020
Argentina,"Inflation, average consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2021 Notes: The official national consumer price index (CPI) for Argentina starts in December 2016. For earlier periods, CPI data for Argentina reflect the Greater Buenos Aires Area CPI (prior to December 2013), the national CPI (IPCNu, December 2013 to October 2015), the City of Buenos Aires CPI (November 2015 to April 2016), and the Greater Buenos Aires Area CPI (May 2016 to December 2016). Given limited comparability of these series on account of differences in geographical coverage, weights, sampling, and methodology, the average CPI inflation for 2014-16 and end-of-period inflation for 2015-16 are not reported in the World Economic Outlook. Inflation projections reflect the upper bound of the program range given recent world commodity price developments. Harmonized prices: No Base year: FY2013/14. Original base year is Oct13-Sep14, hence the 2013/14 notation. Primary domestic currency: Argentine peso Data last updated: 03/2022",211.473,283.959,436.015,619.207,918.961,"1,394.37",2021
Argentina,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,34.428,33.508,33.308,33.466,33.509,34.081,2021
Argentina,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,41.121,38.949,37.703,42.092,38.086,37.884,2021
Argentina,General government net debt,Percent of GDP,,,,,,,,,
Argentina,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,57.028,85.246,88.835,102.79,80.617,74.431,2021
Armenia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",11.527,12.458,13.619,12.641,13.928,14.047,2021
Armenia,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2021 Harmonized prices: No Base year: 1997 Primary domestic currency: Armenian dram Data last updated: 04/2022,207.522,212.681,215.749,218.396,234.124,251.938,2021
Armenia,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,21.242,22.298,23.925,25.247,24.114,24.456,2020
Armenia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,26.027,24.05,24.902,30.649,28.703,28.529,2020
Armenia,General government net debt,Percent of GDP,,,,,,,,,
Armenia,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,53.704,51.233,50.086,63.476,60.288,63.665,2020
Aruba,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.092,3.202,3.31,2.497,3.023,3.229,2020
Aruba,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Base year: 2006 Primary domestic currency: Aruban Florin Data last updated: 03/2022,116.305,120.521,125.267,123.624,124.532,130.311,2020
Aruba,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,21.971,22.632,23.961,23.969,20.165,20.843,2020
Aruba,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,24.558,24.589,23.621,40.724,30.374,27.227,2020
Aruba,General government net debt,Percent of GDP,,,,,,,,,
Aruba,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,75.825,75.004,72.885,115.135,105.6,105.49,2020
Australia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,381.99","1,416.98","1,386.64","1,357.32","1,633.29","1,748.33",2021
Australia,"Inflation, average consumer prices",Index,,Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2021. Data refer to calendar years Harmonized prices: No Base year: 2011. The base period is 2011Q3-2012Q2 Primary domestic currency: Australian dollar Data last updated: 03/2022,111.2,113.35,115.15,116.175,119.45,124.154,2021
Australia,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,35.144,35.732,34.642,36.09,35.132,33.81,2020
Australia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,36.862,36.991,39.021,44.674,42.837,38.969,2020
Australia,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,23.302,24.105,27.954,34.567,35.679,37.473,2020
Australia,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,41.17,41.764,46.797,57.828,59.806,60.065,2020
Austria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",417.114,455.374,445.061,432.912,477.4,479.815,2021
Austria,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2021 Harmonized prices: Yes Base year: 2005 Primary domestic currency: Euro Data last updated: 03/2022,125.43,128.089,130,131.81,135.44,143.003,2021
Austria,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,48.483,48.909,49.176,48.749,49.758,48.795,2020
Austria,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,49.299,48.739,48.566,57.06,55.605,52.739,2020
Austria,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,55.92,50.718,47.945,59.511,60.772,59.863,2020
Austria,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,78.603,74.045,70.563,83.213,83.061,80.746,2020
Azerbaijan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",41.375,47.113,48.174,42.693,54.622,73.369,2021
Azerbaijan,"Inflation, average consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2021 Harmonized prices: No Base year: 2005. PCPI = 100 in June 2005, Core CPI = 100 in 2006 Primary domestic currency: Azerbaijan manat Data last updated: 03/2022",243.664,249.352,256.115,263.348,280.886,315.435,2021
Azerbaijan,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,34.229,38.612,41.475,33.72,36.504,47.426,2021
Azerbaijan,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,35.537,33.078,32.366,40.242,32.171,27.316,2021
Azerbaijan,General government net debt,Percent of GDP,,,,,,,,,
Azerbaijan,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,22.509,18.685,17.656,21.327,26.447,15.901,2021
The Bahamas,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.36,12.838,13.164,9.908,11.126,12.627,2020
The Bahamas,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2020 Harmonized prices: Yes. Retail Price Index Base year: 2014 Primary domestic currency: Bahamian dollar Data last updated: 03/2022,103.065,105.402,108.028,108.07,111.576,119.745,2020
The Bahamas,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,16.772,16.218,18.374,18.466,19.119,20.067,2021
The Bahamas,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,22.026,19.513,20.035,25.677,32.746,26.753,2021
The Bahamas,General government net debt,Percent of GDP,,,,,,,,,
The Bahamas,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,54.142,61.723,59.615,75.07,102.808,91.253,2021
Bahrain,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",35.474,37.802,38.653,34.723,38.869,44.169,2020
Bahrain,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2021 Harmonized prices: No Base year: 2019. April 2019= 100 Primary domestic currency: Bahrain dinar Data last updated: 04/2022,96.881,98.907,99.902,97.58,96.983,100.378,2021
Bahrain,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,18.151,21.765,23.717,17.838,20.947,25.664,2020
Bahrain,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,32.181,33.568,32.681,35.698,32.036,28.944,2020
Bahrain,General government net debt,Percent of GDP,,,,,,,,,
Bahrain,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,88.129,94.607,101.636,129.734,128.49,116.547,2020
Bangladesh,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",249.711,274.039,302.571,323.057,357.099,396.543,2020
Bangladesh,"Inflation, average consumer prices",Index,,Source: Bangladesh Bureau of Statistics Latest actual data: FY2020/21 Harmonized prices: No Base year: FY2005/06 Primary domestic currency: Bangladesh taka Data last updated: 03/2022,239.817,253.685,267.573,282.685,298.395,316.251,2021
Bangladesh,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,9.491,10.416,9.454,9.8,10.913,10.988,2019
Bangladesh,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,14.393,15.188,15.732,15.403,15.116,17.133,2019
Bangladesh,General government net debt,Percent of GDP,,,,,,,,,
Bangladesh,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,33.378,34.562,36.138,39.518,41.388,42.601,2019
Barbados,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.978,5.087,5.298,4.677,4.871,5.53,2019
Barbados,"Inflation, average consumer prices",Index,,"Source: National Statistics Office. Headline CPI available since 1994. Components available since 2013. Latest actual data: 2020. Monthly data available with 1-2 months lag. Harmonized prices: No Base year: 2001. CPI base, July 2001 = 100 Primary domestic currency: Barbados dollar Data last updated: 03/2022",177.583,184.133,191.683,197.208,203.133,215.314,2020
Barbados,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,28.613,29.123,30.685,29.837,27.597,28.011,2020
Barbados,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,32.898,29.421,26.947,34.581,32.502,31.363,2020
Barbados,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,157.097,124.837,122.084,145.424,134.627,120.028,2020
Barbados,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,158.264,125.973,123.22,146.713,135.782,121.048,2020
Belarus,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",54.723,60.011,64.414,61.312,68.208,59.394,2020
Belarus,"Inflation, average consumer prices",Index,,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2021 Harmonized prices: No Base year: 2005 Primary domestic currency: Belarusian ruble Data last updated: 03/2022",743.862,780.069,823.751,869.354,951.531,"1,071.10",2021
Belarus,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,38.706,39.649,38.263,35.175,35.383,33.748,2020
Belarus,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,39.042,37.845,37.353,38.045,37.063,38.115,2020
Belarus,General government net debt,Percent of GDP,,,,,,,,,
Belarus,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,53.16,47.515,40.999,47.493,41.181,50.978,2020
Belgium,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",502.587,543.52,535.347,521.445,599.989,609.887,2020
Belgium,"Inflation, average consumer prices",Index,,Source: Central Bank Latest actual data: 2021 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 03/2022,104.033,106.437,107.766,108.227,111.714,120.672,2021
Belgium,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,51.346,51.397,49.936,50.116,49.467,48.995,2020
Belgium,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,52.03,52.239,51.844,59.184,55.503,54.134,2020
Belgium,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,88.309,86.411,84.776,98.034,94.973,95.027,2020
Belgium,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,102.009,99.858,97.708,112.77,108.254,107.473,2020
Belize,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.845,1.887,1.945,1.586,1.797,1.991,2020
Belize,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2021 Harmonized prices: No Base year: 2020. The base period is October 2020. Primary domestic currency: Belize dollar Data last updated: 03/2022,99.424,99.723,99.922,100,103.239,108.228,2021
Belize,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,29.709,30.961,30.15,30.485,31.14,31.572,2020
Belize,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,33.985,32.616,33.654,39.535,34.387,33.298,2020
Belize,General government net debt,Percent of GDP,,,,,,,,,
Belize,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,95.947,95.746,96.312,133.078,110.985,101.887,2020
Benin,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.697,14.257,14.392,15.674,17.455,18.387,2020
Benin,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2020 Harmonized prices: Yes Base year: 2014 Primary domestic currency: CFA franc Data last updated: 03/2022,101.182,102.041,101.089,104.171,105.942,110.815,2020
Benin,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,13.581,13.591,14.062,14.367,14.33,14.193,2021
Benin,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,17.785,16.568,14.601,19.071,20.133,18.688,2021
Benin,General government net debt,Percent of GDP,,,,,,,,,
Benin,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,39.598,41.08,42.523,46.142,50.617,49.292,2021
Bhutan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.294,2.509,2.452,2.416,2.397,2.653,2021
Bhutan,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: FY2020/21. Monthly data available Harmonized prices: No. Not specified Base year: FY2003/04 Primary domestic currency: Bhutanese ngultrum Data last updated: 04/2022,224.933,233.165,239.741,249.69,270.04,291.4,2021
Bhutan,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,28.003,31.882,24.304,31.19,33.789,28.651,2021
Bhutan,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,32.824,33.487,25.89,33.124,40.095,38.836,2021
Bhutan,General government net debt,Percent of GDP,,,,,,,,,
Bhutan,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,111.724,113.371,106.49,131.164,134.94,133.454,2021
Bolivia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",37.782,40.581,41.193,36.897,39.756,41.032,2020
Bolivia,"Inflation, average consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Base year: 2016. Base year (2016) price index is not 100. According to the statistics office, it is a technical issue related to extrapolation of the old series to the new one. Primary domestic currency: Bolivian boliviano Data last updated: 03/2022",99.323,101.579,103.447,104.422,105.191,108.546,2020
Bolivia,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,30.774,28.951,28.845,25.26,26.684,32.297,2020
Bolivia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,38.598,37.094,36.066,37.976,35.946,39.828,2020
Bolivia,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,37.213,42.561,50.236,68.212,72.468,77.745,2020
Bolivia,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,51.26,53.076,59.257,78.129,82.571,86.113,2020
Bosnia and Herzegovina,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",18.081,20.184,20.203,19.951,22.419,23.358,2020
Bosnia and Herzegovina,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Base year: 2015 Primary domestic currency: Bosnian convertible marka Data last updated: 03/2022,99.213,100.619,101.182,100.117,102.117,108.763,2020
Bosnia and Herzegovina,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,42.339,42.681,41.859,41.276,42.332,42.016,2020
Bosnia and Herzegovina,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,40.525,41.025,40.472,45.956,43.045,42.258,2020
Bosnia and Herzegovina,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,29.106,24.145,20.951,24.946,22.564,20.72,2020
Bosnia and Herzegovina,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,37.947,34.271,32.526,36.533,36.518,33.989,2020
Botswana,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",16.105,17.032,16.696,14.93,17.804,18.426,2020
Botswana,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Base year: 2000 Primary domestic currency: Botswana pula Data last updated: 03/2022,320.632,331.023,340.109,346.538,369.68,402.751,2020
Botswana,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,33.529,30.56,28.328,26.044,30.877,30.631,2021
Botswana,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,34.672,35.591,36.861,37.068,35.621,33.779,2021
Botswana,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,-4.635,-2.332,2.994,14.416,17.545,19.472,2021
Botswana,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,14.531,14.856,16.472,18.975,21.273,23.177,2021
Brazil,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,063.52","1,916.93","1,873.29","1,448.55","1,608.08","1,833.27",2020
Brazil,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2021 Harmonized prices: No Base year: 1980. December 1980 = 100; Jan 1991 =100 for Core Inflation Primary domestic currency: Brazilian real Data last updated: 03/2022,"31,946,817,701,225.20","33,117,565,218,738.10","34,353,857,264,335.90","35,457,162,626,753.90","38,400,665,110,472.00","41,557,091,077,977.30",2021
Brazil,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,30.454,30.674,31.49,29.535,31.525,30.875,2020
Brazil,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,38.295,37.704,37.37,42.867,35.939,38.466,2020
Brazil,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,51.37,52.766,54.699,62.537,57.226,58.971,2020
Brazil,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,83.632,85.642,87.87,98.682,93.013,91.888,2020
Brunei Darussalam,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.128,13.568,13.47,12.003,19.915,35.555,2020
Brunei Darussalam,"Inflation, average consumer prices",Index,,Source: Ministry of Finance or Treasury. Department of Economic Planning and Statistics Latest actual data: 2020. Latest observation Oct 2021 Harmonized prices: No Base year: 2015. January 2015=100 Primary domestic currency: Brunei dollar Data last updated: 03/2022,98.361,99.397,98.981,100.899,102.413,104.461,2020
Brunei Darussalam,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,26.182,28.565,22.784,17.465,21.247,32.996,2020
Brunei Darussalam,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,36.579,32.152,32.435,33.205,22.392,13.717,2020
Brunei Darussalam,General government net debt,Percent of GDP,,,,,,,,,
Brunei Darussalam,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,2.826,2.586,2.575,2.857,1.769,0.989,2020
Bulgaria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",59.322,66.428,68.919,69.995,80.327,89.533,2021
Bulgaria,"Inflation, average consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2021 Notes: As of 1997, the consumer price index has been replaced by HICP. Harmonized prices: Yes Base year: 2015 Primary domestic currency: Bulgarian lev Data last updated: 03/2022",99.848,102.476,104.994,106.274,109.295,121.265,2021
Bulgaria,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,32.833,34.434,34.896,35.037,37.474,36.645,2021
Bulgaria,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,32.011,34.311,35.853,37.981,40.42,39.396,2021
Bulgaria,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,10.337,8.965,8.404,13.408,13.684,14.169,2021
Bulgaria,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,22.906,20.066,18.307,23.304,23.831,23.135,2021
Burkina Faso,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",14.102,16.067,15.991,17.378,19.095,19.621,2020
Burkina Faso,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Base year: 2014 Primary domestic currency: CFA franc Data last updated: 04/2022,103.616,105.643,102.227,104.153,108.168,114.658,2020
Burkina Faso,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,19.332,19.572,20.087,19.776,18.965,18.684,2020
Burkina Faso,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,26.247,23.964,23.495,25.472,24.567,24.736,2020
Burkina Faso,General government net debt,Percent of GDP,,,,,,,,,
Burkina Faso,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,33.648,37.979,42.017,46.541,50.664,53.39,2020
Burundi,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.172,3.037,3.012,3.086,3.329,3.431,2019
Burundi,"Inflation, average consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2020. 10/01/2020 Harmonized prices: No. The data cover only the national capital, Bujumbura. Base year: 2013. December 2013=100 Primary domestic currency: Burundi franc Data last updated: 04/2022",116.303,111.675,110.883,118.983,128.875,140.789,2020
Burundi,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,19.087,19.36,22.376,22.336,23.685,31.462,2020
Burundi,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,24.093,26.019,28.771,28.921,27.541,38.887,2020
Burundi,General government net debt,Percent of GDP,,,,,,,,,
Burundi,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,46.902,52.971,59.988,65.965,68.592,69.168,2020
Cabo Verde,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.77,1.967,1.982,1.707,1.947,1.997,2020
