Reporting Economy,Continent,Commercial services traded,Date,Value
Albania,Europe,Direct insurance,31/12/2016,"31,421,000"
Albania,Europe,Direct insurance,31/12/2015,"27,351,000"
Albania,Europe,Direct insurance,31/12/2018,"18,824,000"
Albania,Europe,Direct insurance,31/12/2019,"17,656,000"
Albania,Europe,Direct insurance,31/12/2017,"40,673,000"
Albania,Europe,Direct insurance,31/12/2013,"20,501,000"
Albania,Europe,Direct insurance,31/12/2021,"19,934,000"
Albania,Europe,Direct insurance,31/12/2020,"17,468,000"
Albania,Europe,Reinsurance,31/12/2013,0
Albania,Europe,Reinsurance,31/12/2018,"9,479,000"
Albania,Europe,Reinsurance,31/12/2020,"9,648,000"
Albania,Europe,Reinsurance,31/12/2014,0
Albania,Europe,Reinsurance,31/12/2017,0
Albania,Europe,Reinsurance,31/12/2015,0
Albania,Europe,Reinsurance,31/12/2016,0
Albania,Europe,Reinsurance,31/12/2021,"30,269,000"
Albania,Europe,Reinsurance,31/12/2019,"29,187,000"
Albania,Europe,Auxiliary insurance services,31/12/2016,"11,000"
Albania,Europe,Auxiliary insurance services,31/12/2020,"46,000"
Albania,Europe,Auxiliary insurance services,31/12/2013,"107,000"
Albania,Europe,Auxiliary insurance services,31/12/2017,0
Albania,Europe,Auxiliary insurance services,31/12/2014,"78,000"
Albania,Europe,Auxiliary insurance services,31/12/2015,"34,000"
Albania,Europe,Auxiliary insurance services,31/12/2021,"47,000"
Albania,Europe,Auxiliary insurance services,31/12/2019,"145,000"
Albania,Europe,Auxiliary insurance services,31/12/2018,0
Albania,Europe,Financial services,31/12/2019,"7,674,000"
Albania,Europe,Financial services,31/12/2021,"18,955,000"
Albania,Europe,Financial services,31/12/2016,"6,450,000"
Albania,Europe,Financial services,31/12/2018,"32,197,000"
Albania,Europe,Financial services,31/12/2020,"14,768,000"
Albania,Europe,Financial services,31/12/2017,"7,142,000"
Albania,Europe,Financial services,31/12/2013,"9,942,000"
Albania,Europe,Financial services,31/12/2014,"12,834,000"
Albania,Europe,Financial services,31/12/2015,"25,323,000"
Albania,Europe,Explicitly charged and other financial services,31/12/2014,"12,834,000"
Albania,Europe,Explicitly charged and other financial services,31/12/2013,"9,942,000"
Albania,Europe,Explicitly charged and other financial services,31/12/2019,"7,674,000"
Albania,Europe,Explicitly charged and other financial services,31/12/2017,"7,142,000"
Albania,Europe,Explicitly charged and other financial services,31/12/2016,"6,450,000"
Albania,Europe,Explicitly charged and other financial services,31/12/2018,"32,197,000"
Albania,Europe,Explicitly charged and other financial services,31/12/2015,"25,323,000"
Albania,Europe,Explicitly charged and other financial services,31/12/2021,"18,955,000"
Albania,Europe,Explicitly charged and other financial services,31/12/2020,"14,768,000"
Albania,Europe,Charges for the use of intellectual property n.i.e.,31/12/2014,"21,882,000"
Albania,Europe,Charges for the use of intellectual property n.i.e.,31/12/2013,"22,607,000"
Albania,Europe,Charges for the use of intellectual property n.i.e.,31/12/2018,"26,412,000"
Albania,Europe,Charges for the use of intellectual property n.i.e.,31/12/2016,"23,163,000"
Albania,Europe,Charges for the use of intellectual property n.i.e.,31/12/2019,"34,784,000"
Albania,Europe,Charges for the use of intellectual property n.i.e.,31/12/2015,"24,578,000"
Albania,Europe,Charges for the use of intellectual property n.i.e.,31/12/2017,"13,132,000"
Albania,Europe,Charges for the use of intellectual property n.i.e.,31/12/2021,"34,764,000"
Albania,Europe,Charges for the use of intellectual property n.i.e.,31/12/2020,"38,609,000"
Albania,Europe,Telecommunications services,31/12/2018,"36,828,000"
Albania,Europe,Telecommunications services,31/12/2017,"44,645,000"
Albania,Europe,Telecommunications services,31/12/2013,"71,529,000"
Albania,Europe,Telecommunications services,31/12/2015,"47,726,000"
Albania,Europe,Telecommunications services,31/12/2016,"55,339,000"
Albania,Europe,Telecommunications services,31/12/2014,"54,027,000"
Albania,Europe,Telecommunications services,31/12/2019,"32,197,000"
Albania,Europe,Telecommunications services,31/12/2021,"26,489,000"
Albania,Europe,Telecommunications services,31/12/2020,"29,610,000"
Albania,Europe,Computer services,31/12/2020,"43,630,000"
Albania,Europe,Computer services,31/12/2021,"45,145,000"
Albania,Europe,Computer services,31/12/2016,"9,737,000"
Albania,Europe,Computer services,31/12/2013,"16,991,000"
Albania,Europe,Computer services,31/12/2017,"27,770,000"
Albania,Europe,Computer services,31/12/2018,"32,603,000"
Albania,Europe,Computer services,31/12/2019,"48,103,000"
Albania,Europe,Computer services,31/12/2015,"11,619,000"
Albania,Europe,Computer services,31/12/2014,"12,550,000"
Albania,Europe,Information services,31/12/2020,"2,039,000"
Albania,Europe,Information services,31/12/2015,"1,131,000"
Albania,Europe,Information services,31/12/2014,"1,373,000"
Albania,Europe,Information services,31/12/2021,"2,947,000"
Albania,Europe,Information services,31/12/2018,"2,267,000"
Albania,Europe,Information services,31/12/2019,"3,087,000"
Albania,Europe,Information services,31/12/2016,"1,109,000"
Albania,Europe,Information services,31/12/2017,"2,895,000"
Albania,Europe,Information services,31/12/2013,"1,089,000"
Albania,Europe,Research and development services,31/12/2018,"1,010,000"
Albania,Europe,Research and development services,31/12/2015,"156,000"
Albania,Europe,Research and development services,31/12/2016,"498,000"
Albania,Europe,Research and development services,31/12/2021,"2,844,000"
Albania,Europe,Research and development services,31/12/2020,"1,624,000"
Albania,Europe,Research and development services,31/12/2017,"1,177,000"
Albania,Europe,Research and development services,31/12/2013,"239,000"
Albania,Europe,Research and development services,31/12/2019,"1,731,000"
Albania,Europe,Research and development services,31/12/2014,"287,000"
Albania,Europe,Professional and management consulting services,31/12/2019,"78,727,000"
Albania,Europe,Professional and management consulting services,31/12/2015,"12,490,000"
Albania,Europe,Professional and management consulting services,31/12/2020,"97,691,000"
Albania,Europe,Professional and management consulting services,31/12/2014,"11,966,000"
Albania,Europe,Professional and management consulting services,31/12/2021,"107,081,000"
Albania,Europe,Professional and management consulting services,31/12/2018,"72,445,000"
Albania,Europe,Professional and management consulting services,31/12/2017,"68,948,000"
Albania,Europe,Professional and management consulting services,31/12/2016,"19,960,000"
Albania,Europe,Professional and management consulting services,31/12/2013,"23,696,000"
Albania,Europe,"Technical, trade-related, and other business services",31/12/2017,"13,764,000"
Albania,Europe,"Technical, trade-related, and other business services",31/12/2016,"37,960,000"
Albania,Europe,"Technical, trade-related, and other business services",31/12/2014,"43,492,000"
Albania,Europe,"Technical, trade-related, and other business services",31/12/2015,"34,799,000"
Albania,Europe,"Technical, trade-related, and other business services",31/12/2013,"31,803,000"
Albania,Europe,"Technical, trade-related, and other business services",31/12/2018,"16,562,000"
Albania,Europe,"Technical, trade-related, and other business services",31/12/2020,"13,395,000"
Albania,Europe,"Technical, trade-related, and other business services",31/12/2021,"6,462,000"
Albania,Europe,"Technical, trade-related, and other business services",31/12/2019,"12,233,000"
Albania,Europe,"Personal, cultural, and recreational services",31/12/2014,"30,165,000"
Albania,Europe,"Personal, cultural, and recreational services",31/12/2021,"6,102,000"
Albania,Europe,"Personal, cultural, and recreational services",31/12/2018,"7,777,000"
Albania,Europe,"Personal, cultural, and recreational services",31/12/2015,"23,157,000"
Albania,Europe,"Personal, cultural, and recreational services",31/12/2017,"16,367,000"
Albania,Europe,"Personal, cultural, and recreational services",31/12/2013,"17,300,000"
Albania,Europe,"Personal, cultural, and recreational services",31/12/2016,"22,605,000"
Albania,Europe,"Personal, cultural, and recreational services",31/12/2019,"10,817,000"
Albania,Europe,"Personal, cultural, and recreational services",31/12/2020,"8,055,000"
Albania,Europe,Audiovisual and related services,31/12/2015,"2,376,000"
Albania,Europe,Audiovisual and related services,31/12/2016,"2,739,000"
Albania,Europe,Audiovisual and related services,31/12/2019,"5,285,000"
Albania,Europe,Audiovisual and related services,31/12/2014,"2,390,000"
Albania,Europe,Audiovisual and related services,31/12/2018,"4,813,000"
Albania,Europe,Audiovisual and related services,31/12/2020,"1,663,000"
Albania,Europe,Audiovisual and related services,31/12/2021,"2,074,000"
Albania,Europe,Audiovisual and related services,31/12/2017,"13,042,000"
Albania,Europe,Audiovisual and related services,31/12/2013,"2,355,000"
Albania,Europe,Goods-related services,31/12/2014,"2,448,000"
Albania,Europe,Goods-related services,31/12/2015,"4,048,000"
Albania,Europe,Goods-related services,31/12/2017,"4,200,000"
Albania,Europe,Goods-related services,31/12/2018,"4,787,000"
Albania,Europe,Goods-related services,31/12/2016,"3,861,000"
Albania,Europe,Goods-related services,31/12/2019,"2,897,000"
Albania,Europe,Goods-related services,31/12/2013,"1,859,000"
Albania,Europe,Goods-related services,31/12/2021,"2,915,000"
Albania,Europe,Goods-related services,31/12/2020,"2,993,000"
Algeria,Africa,Manufacturing services on physical inputs owned by others,31/12/2018,"187,253,000"
Algeria,Africa,Manufacturing services on physical inputs owned by others,31/12/2016,"43,378,000"
Algeria,Africa,Manufacturing services on physical inputs owned by others,31/12/2015,"50,267,000"
Algeria,Africa,Manufacturing services on physical inputs owned by others,31/12/2019,"189,813,000"
Algeria,Africa,Manufacturing services on physical inputs owned by others,31/12/2020,"52,531,000"
Algeria,Africa,Manufacturing services on physical inputs owned by others,31/12/2013,"39,759,300"
Algeria,Africa,Manufacturing services on physical inputs owned by others,31/12/2014,"38,905,000"
Algeria,Africa,Manufacturing services on physical inputs owned by others,31/12/2017,"49,297,000"
Algeria,Africa,Manufacturing services on physical inputs owned by others,31/12/2021,"46,807,306"
Algeria,Africa,Maintenance and repair services n.i.e.,31/12/2016,"71,484,000"
Algeria,Africa,Maintenance and repair services n.i.e.,31/12/2014,"79,908,000"
Algeria,Africa,Maintenance and repair services n.i.e.,31/12/2013,"31,777,900"
Algeria,Africa,Maintenance and repair services n.i.e.,31/12/2015,"75,188,000"
Algeria,Africa,Maintenance and repair services n.i.e.,31/12/2019,"118,869,000"
Algeria,Africa,Maintenance and repair services n.i.e.,31/12/2020,"72,784,000"
Algeria,Africa,Maintenance and repair services n.i.e.,31/12/2017,"101,741,000"
Algeria,Africa,Maintenance and repair services n.i.e.,31/12/2018,"93,932,000"
Algeria,Africa,Maintenance and repair services n.i.e.,31/12/2021,"64,853,571"
Algeria,Africa,Transport,31/12/2021,"2,280,859,497"
Algeria,Africa,Transport,31/12/2015,"3,690,356,000"
Algeria,Africa,Transport,31/12/2016,"3,613,016,000"
Algeria,Africa,Transport,31/12/2020,"2,578,546,000"
Algeria,Africa,Transport,31/12/2019,"3,430,501,000"
Algeria,Africa,Transport,31/12/2017,"3,474,445,000"
Algeria,Africa,Transport,31/12/2018,"3,612,430,000"
Algeria,Africa,Transport,31/12/2014,"4,057,662,000"
Algeria,Africa,Transport,31/12/2013,"4,034,480,000"
Algeria,Africa,Sea transport,31/12/2017,"2,825,531,000"
Algeria,Africa,Sea transport,31/12/2018,"2,949,879,000"
Algeria,Africa,Sea transport,31/12/2020,"2,260,719,000"
Algeria,Africa,Sea transport,31/12/2016,"2,832,658,000"
Algeria,Africa,Sea transport,31/12/2019,"2,776,000,000"
Algeria,Africa,Sea transport,31/12/2015,"3,039,720,000"
Algeria,Africa,Sea transport,31/12/2021,"1,999,724,806"
Algeria,Africa,Sea transport,31/12/2014,"3,427,315,000"
Algeria,Africa,Sea transport,31/12/2013,"3,355,020,000"
Algeria,Africa,Passenger (Sea),31/12/2013,"1,162,470"
Algeria,Africa,Passenger (Sea),31/12/2014,"95,000"
Algeria,Africa,Passenger (Sea),31/12/2015,"75,000"
Algeria,Africa,Passenger (Sea),31/12/2017,"362,000"
Algeria,Africa,Passenger (Sea),31/12/2018,"134,000"
Algeria,Africa,Passenger (Sea),31/12/2016,"125,000"
Algeria,Africa,Passenger (Sea),31/12/2019,"1,694,000"
Algeria,Africa,Passenger (Sea),31/12/2020,"3,009,000"
Algeria,Africa,Passenger (Sea),31/12/2021,"2,661,619"
Algeria,Africa,Freight (Sea),31/12/2020,"1,983,940,000"
Algeria,Africa,Freight (Sea),31/12/2013,"3,084,090,000"
Algeria,Africa,Freight (Sea),31/12/2017,"2,498,065,000"
Algeria,Africa,Freight (Sea),31/12/2014,"3,092,536,000"
Algeria,Africa,Freight (Sea),31/12/2018,"2,703,324,000"
Algeria,Africa,Freight (Sea),31/12/2021,"1,754,899,230"
Algeria,Africa,Freight (Sea),31/12/2019,"2,545,616,000"
Algeria,Africa,Freight (Sea),31/12/2015,"2,700,187,000"
Algeria,Africa,Freight (Sea),31/12/2016,"2,513,909,000"
Algeria,Africa,Air transport,31/12/2015,"390,766,000"
Algeria,Africa,Air transport,31/12/2019,"436,391,000"
Algeria,Africa,Air transport,31/12/2016,"573,195,000"
Algeria,Africa,Air transport,31/12/2021,"144,093,614"
Algeria,Africa,Air transport,31/12/2013,"541,710,000"
Algeria,Africa,Air transport,31/12/2018,"435,611,000"
Algeria,Africa,Air transport,31/12/2014,"443,009,000"
Algeria,Africa,Air transport,31/12/2020,"162,900,000"
Algeria,Africa,Air transport,31/12/2017,"419,474,000"
Algeria,Africa,Passenger (Air),31/12/2021,"31,375,080"
Algeria,Africa,Passenger (Air),31/12/2019,"29,908,000"
Algeria,Africa,Passenger (Air),31/12/2020,"35,470,000"
Algeria,Africa,Passenger (Air),31/12/2013,"59,231,000"
Algeria,Africa,Passenger (Air),31/12/2014,"70,540,000"
Algeria,Africa,Passenger (Air),31/12/2017,"52,052,000"
Algeria,Africa,Passenger (Air),31/12/2018,"43,829,000"
Algeria,Africa,Passenger (Air),31/12/2016,"82,054,000"
Algeria,Africa,Passenger (Air),31/12/2015,"76,499,000"
Algeria,Africa,Freight (Air),31/12/2014,"3,713,000"
Algeria,Africa,Freight (Air),31/12/2015,"4,026,000"
Algeria,Africa,Freight (Air),31/12/2016,"4,319,000"
Algeria,Africa,Freight (Air),31/12/2019,"1,574,000"
Algeria,Africa,Freight (Air),31/12/2013,"3,117,420"
Algeria,Africa,Freight (Air),31/12/2018,"2,307,000"
Algeria,Africa,Freight (Air),31/12/2021,"1,651,460"
Algeria,Africa,Freight (Air),31/12/2017,"2,740,000"
Algeria,Africa,Freight (Air),31/12/2020,"1,867,000"
Algeria,Africa,Postal and courier services,31/12/2018,"8,942,000"
Algeria,Africa,Postal and courier services,31/12/2017,"9,893,000"
Algeria,Africa,Postal and courier services,31/12/2019,"8,712,000"
Algeria,Africa,Postal and courier services,31/12/2020,"9,926,000"
Algeria,Africa,Postal and courier services,31/12/2013,"5,797,900"
Algeria,Africa,Postal and courier services,31/12/2016,"14,448,000"
Algeria,Africa,Postal and courier services,31/12/2021,"8,780,069"
Algeria,Africa,Postal and courier services,31/12/2014,"9,215,000"
Algeria,Africa,Postal and courier services,31/12/2015,"4,570,000"
Algeria,Africa,Travel,31/12/2019,"637,875,000"
Algeria,Africa,Travel,31/12/2016,"474,134,000"
Algeria,Africa,Travel,31/12/2013,"470,757,000"
Algeria,Africa,Travel,31/12/2017,"580,210,000"
Algeria,Africa,Travel,31/12/2018,"497,742,000"
Algeria,Africa,Travel,31/12/2014,"608,074,000"
Algeria,Africa,Travel,31/12/2015,"684,757,000"
Algeria,Africa,Travel,31/12/2020,"233,773,000"
Algeria,Africa,Goods (travel),31/12/2013,0
Algeria,Africa,Business,31/12/2013,"99,754,000"
Algeria,Africa,Business,31/12/2018,"30,280,000"
Algeria,Africa,Business,31/12/2020,"7,250,000"
Algeria,Africa,Business,31/12/2015,"79,433,000"
Algeria,Africa,Business,31/12/2017,"37,737,000"
Algeria,Africa,Business,31/12/2014,"105,174,000"
Algeria,Africa,Business,31/12/2019,"35,350,000"
Algeria,Africa,Business,31/12/2016,"31,183,000"
Algeria,Africa,"Acquisition of goods and services by border, seasonal, and other short-term workers",31/12/2013,0
Algeria,Africa,Personal,31/12/2013,"371,007,000"
Algeria,Africa,Personal,31/12/2018,"467,462,000"
Algeria,Africa,Personal,31/12/2017,"542,474,000"
Algeria,Africa,Personal,31/12/2016,"442,951,000"
Algeria,Africa,Personal,31/12/2014,"502,899,000"
