Reporting Economy,Continent,Commercial services traded,Date,Value
Albania,Europe,Construction,31/12/2019,"7,300,000"
Albania,Europe,Construction,31/12/2020,"6,562,000"
Albania,Europe,Construction,31/12/2021,"13,342,000"
Albania,Europe,Construction,31/12/2014,"9,919,000"
Albania,Europe,Construction,31/12/2015,"5,286,000"
Albania,Europe,Construction,31/12/2016,"8,337,000"
Albania,Europe,Construction,31/12/2017,"8,385,000"
Albania,Europe,Construction,31/12/2013,"16,237,000"
Albania,Europe,Construction,31/12/2018,"4,535,000"
Albania,Europe,Insurance and pension services,31/12/2021,"6,239,000"
Albania,Europe,Insurance and pension services,31/12/2019,"13,375,000"
Albania,Europe,Insurance and pension services,31/12/2020,"5,773,000"
Albania,Europe,Insurance and pension services,31/12/2014,"12,295,000"
Albania,Europe,Insurance and pension services,31/12/2013,"7,976,000"
Albania,Europe,Insurance and pension services,31/12/2018,"7,324,000"
Albania,Europe,Insurance and pension services,31/12/2017,"8,038,000"
Albania,Europe,Insurance and pension services,31/12/2015,"3,742,000"
Albania,Europe,Insurance and pension services,31/12/2016,"7,517,000"
Albania,Europe,Direct insurance,31/12/2016,"7,495,000"
Albania,Europe,Direct insurance,31/12/2014,"11,433,000"
Albania,Europe,Direct insurance,31/12/2017,"8,038,000"
Albania,Europe,Direct insurance,31/12/2019,"12,507,000"
Albania,Europe,Direct insurance,31/12/2018,"6,984,000"
Albania,Europe,Direct insurance,31/12/2013,"7,895,000"
Albania,Europe,Direct insurance,31/12/2021,"5,871,000"
Albania,Europe,Direct insurance,31/12/2020,"5,633,000"
Albania,Europe,Direct insurance,31/12/2015,"3,675,000"
Albania,Europe,Reinsurance,31/12/2016,0
Albania,Europe,Reinsurance,31/12/2017,0
Albania,Europe,Reinsurance,31/12/2013,0
Albania,Europe,Reinsurance,31/12/2020,"83,000"
Albania,Europe,Reinsurance,31/12/2018,"352,000"
Albania,Europe,Reinsurance,31/12/2014,0
Albania,Europe,Reinsurance,31/12/2015,0
Albania,Europe,Reinsurance,31/12/2019,"283,000"
Albania,Europe,Reinsurance,31/12/2021,"179,000"
Albania,Europe,Auxiliary insurance services,31/12/2020,"57,000"
Albania,Europe,Auxiliary insurance services,31/12/2021,"177,000"
Albania,Europe,Auxiliary insurance services,31/12/2019,"573,000"
Albania,Europe,Auxiliary insurance services,31/12/2015,"67,000"
Albania,Europe,Auxiliary insurance services,31/12/2016,"22,000"
Albania,Europe,Auxiliary insurance services,31/12/2018,0
Albania,Europe,Auxiliary insurance services,31/12/2017,0
Albania,Europe,Auxiliary insurance services,31/12/2014,"862,000"
Albania,Europe,Auxiliary insurance services,31/12/2013,"82,000"
Albania,Europe,Financial services,31/12/2019,"5,683,000"
Albania,Europe,Financial services,31/12/2021,"9,266,000"
Albania,Europe,Financial services,31/12/2016,"2,117,000"
Albania,Europe,Financial services,31/12/2020,"13,732,000"
Albania,Europe,Financial services,31/12/2013,"4,628,000"
Albania,Europe,Financial services,31/12/2017,"746,000"
Albania,Europe,Financial services,31/12/2014,"3,292,000"
Albania,Europe,Financial services,31/12/2015,"1,942,000"
Albania,Europe,Financial services,31/12/2018,"8,567,000"
Albania,Europe,Explicitly charged and other financial services,31/12/2018,"451,000"
Albania,Europe,Explicitly charged and other financial services,31/12/2017,"746,000"
Albania,Europe,Explicitly charged and other financial services,31/12/2013,"4,628,000"
Albania,Europe,Explicitly charged and other financial services,31/12/2019,"135,000"
Albania,Europe,Explicitly charged and other financial services,31/12/2016,"2,117,000"
Albania,Europe,Explicitly charged and other financial services,31/12/2015,"1,942,000"
Albania,Europe,Explicitly charged and other financial services,31/12/2020,"348,000"
Albania,Europe,Explicitly charged and other financial services,31/12/2021,"1,495,000"
Albania,Europe,Explicitly charged and other financial services,31/12/2014,"3,292,000"
Albania,Europe,Financial intermediation services indirectly measured (FISIM),31/12/2018,"8,104,000"
Albania,Europe,Financial intermediation services indirectly measured (FISIM),31/12/2020,"13,383,000"
Albania,Europe,Financial intermediation services indirectly measured (FISIM),31/12/2021,"7,771,000"
Albania,Europe,Financial intermediation services indirectly measured (FISIM),31/12/2019,"5,548,000"
Albania,Europe,Charges for the use of intellectual property n.i.e.,31/12/2013,"1,186,000"
Albania,Europe,Charges for the use of intellectual property n.i.e.,31/12/2017,"10,991,000"
Albania,Europe,Charges for the use of intellectual property n.i.e.,31/12/2021,"19,333,000"
Albania,Europe,Charges for the use of intellectual property n.i.e.,31/12/2015,"1,945,000"
Albania,Europe,Charges for the use of intellectual property n.i.e.,31/12/2014,"740,000"
Albania,Europe,Charges for the use of intellectual property n.i.e.,31/12/2019,"17,149,000"
Albania,Europe,Charges for the use of intellectual property n.i.e.,31/12/2020,"15,866,000"
Albania,Europe,Charges for the use of intellectual property n.i.e.,31/12/2016,"2,704,000"
Albania,Europe,Charges for the use of intellectual property n.i.e.,31/12/2018,"14,949,000"
Albania,Europe,Telecommunications services,31/12/2021,"17,511,000"
Albania,Europe,Telecommunications services,31/12/2020,"21,406,000"
Albania,Europe,Telecommunications services,31/12/2013,"172,617,000"
Albania,Europe,Telecommunications services,31/12/2019,"52,686,000"
Albania,Europe,Telecommunications services,31/12/2014,"151,112,000"
Albania,Europe,Telecommunications services,31/12/2015,"100,488,000"
Albania,Europe,Telecommunications services,31/12/2016,"118,765,000"
Albania,Europe,Telecommunications services,31/12/2018,"31,235,000"
Albania,Europe,Telecommunications services,31/12/2017,"68,657,000"
Albania,Europe,Computer services,31/12/2020,"59,603,000"
Albania,Europe,Computer services,31/12/2013,"8,522,000"
Albania,Europe,Computer services,31/12/2016,"6,104,000"
Albania,Europe,Computer services,31/12/2019,"53,083,000"
Albania,Europe,Computer services,31/12/2015,"11,098,000"
Albania,Europe,Computer services,31/12/2021,"96,818,000"
Albania,Europe,Computer services,31/12/2014,"12,366,000"
Albania,Europe,Computer services,31/12/2017,"22,980,000"
Albania,Europe,Computer services,31/12/2018,"44,236,000"
Albania,Europe,Information services,31/12/2014,"946,000"
Albania,Europe,Information services,31/12/2013,"1,933,000"
Albania,Europe,Information services,31/12/2021,"272,000"
Albania,Europe,Information services,31/12/2020,"1,610,000"
Albania,Europe,Information services,31/12/2015,"466,000"
Albania,Europe,Information services,31/12/2019,"2,290,000"
Albania,Europe,Information services,31/12/2018,"5,264,000"
Albania,Europe,Information services,31/12/2017,"7,093,000"
Albania,Europe,Information services,31/12/2016,"979,000"
Albania,Europe,Research and development services,31/12/2021,"192,000"
Albania,Europe,Research and development services,31/12/2016,"898,000"
Albania,Europe,Research and development services,31/12/2015,"1,197,000"
Albania,Europe,Research and development services,31/12/2014,"799,000"
Albania,Europe,Research and development services,31/12/2018,"1,372,000"
Albania,Europe,Research and development services,31/12/2017,"1,245,000"
Albania,Europe,Research and development services,31/12/2013,"199,000"
Albania,Europe,Research and development services,31/12/2020,"216,000"
Albania,Europe,Research and development services,31/12/2019,"447,000"
Albania,Europe,Professional and management consulting services,31/12/2015,"54,686,000"
Albania,Europe,Professional and management consulting services,31/12/2020,"443,923,000"
Albania,Europe,Professional and management consulting services,31/12/2019,"398,650,000"
Albania,Europe,Professional and management consulting services,31/12/2016,"148,413,000"
Albania,Europe,Professional and management consulting services,31/12/2017,"408,700,000"
Albania,Europe,Professional and management consulting services,31/12/2018,"413,089,000"
Albania,Europe,Professional and management consulting services,31/12/2021,"544,610,000"
Albania,Europe,Professional and management consulting services,31/12/2013,"53,124,000"
Albania,Europe,Professional and management consulting services,31/12/2014,"55,034,000"
Albania,Europe,"Technical, trade-related, and other business services",31/12/2014,"26,909,000"
Albania,Europe,"Technical, trade-related, and other business services",31/12/2019,"63,630,000"
Albania,Europe,"Technical, trade-related, and other business services",31/12/2021,"49,421,000"
Albania,Europe,"Technical, trade-related, and other business services",31/12/2020,"34,127,000"
Albania,Europe,"Technical, trade-related, and other business services",31/12/2013,"32,747,000"
Albania,Europe,"Technical, trade-related, and other business services",31/12/2018,"37,004,000"
Albania,Europe,"Technical, trade-related, and other business services",31/12/2016,"52,263,000"
Albania,Europe,"Technical, trade-related, and other business services",31/12/2015,"58,469,000"
Albania,Europe,"Technical, trade-related, and other business services",31/12/2017,"38,755,000"
Albania,Europe,"Personal, cultural, and recreational services",31/12/2019,"15,104,000"
Albania,Europe,"Personal, cultural, and recreational services",31/12/2014,"12,164,000"
Albania,Europe,"Personal, cultural, and recreational services",31/12/2020,"17,981,000"
Albania,Europe,"Personal, cultural, and recreational services",31/12/2018,"14,227,000"
Albania,Europe,"Personal, cultural, and recreational services",31/12/2016,"18,107,000"
Albania,Europe,"Personal, cultural, and recreational services",31/12/2015,"14,833,000"
Albania,Europe,"Personal, cultural, and recreational services",31/12/2021,"25,473,000"
Albania,Europe,"Personal, cultural, and recreational services",31/12/2017,"20,647,000"
Albania,Europe,"Personal, cultural, and recreational services",31/12/2013,"13,481,000"
Albania,Europe,Audiovisual and related services,31/12/2020,"5,843,000"
Albania,Europe,Audiovisual and related services,31/12/2021,"7,956,000"
Albania,Europe,Audiovisual and related services,31/12/2015,"1,466,000"
Albania,Europe,Audiovisual and related services,31/12/2016,"3,035,000"
Albania,Europe,Audiovisual and related services,31/12/2017,"10,322,000"
Albania,Europe,Audiovisual and related services,31/12/2018,"9,518,000"
Albania,Europe,Audiovisual and related services,31/12/2014,"2,379,000"
Albania,Europe,Audiovisual and related services,31/12/2019,"8,763,000"
Albania,Europe,Audiovisual and related services,31/12/2013,"1,771,000"
Albania,Europe,Goods-related services,31/12/2016,"349,160,000"
Albania,Europe,Goods-related services,31/12/2018,"501,069,000"
Albania,Europe,Goods-related services,31/12/2013,"203,203,000"
Albania,Europe,Goods-related services,31/12/2019,"512,306,000"
Albania,Europe,Goods-related services,31/12/2021,"600,371,000"
Albania,Europe,Goods-related services,31/12/2020,"509,924,000"
Albania,Europe,Goods-related services,31/12/2014,"276,697,000"
Albania,Europe,Goods-related services,31/12/2015,"277,652,000"
Albania,Europe,Goods-related services,31/12/2017,"387,202,000"
Algeria,Africa,Manufacturing services on physical inputs owned by others,31/12/2020,"53,000"
Algeria,Africa,Manufacturing services on physical inputs owned by others,31/12/2019,"461,000"
Algeria,Africa,Manufacturing services on physical inputs owned by others,31/12/2016,0
Algeria,Africa,Manufacturing services on physical inputs owned by others,31/12/2014,0
Algeria,Africa,Manufacturing services on physical inputs owned by others,31/12/2013,0
Algeria,Africa,Manufacturing services on physical inputs owned by others,31/12/2021,"53,655"
Algeria,Africa,Manufacturing services on physical inputs owned by others,31/12/2015,"336,000"
Algeria,Africa,Maintenance and repair services n.i.e.,31/12/2019,"9,000"
Algeria,Africa,Maintenance and repair services n.i.e.,31/12/2020,"7,000"
Algeria,Africa,Maintenance and repair services n.i.e.,31/12/2016,"85,000"
Algeria,Africa,Maintenance and repair services n.i.e.,31/12/2013,"102,226"
Algeria,Africa,Maintenance and repair services n.i.e.,31/12/2017,"75,000"
Algeria,Africa,Maintenance and repair services n.i.e.,31/12/2015,"30,000"
Algeria,Africa,Maintenance and repair services n.i.e.,31/12/2021,"7,086"
Algeria,Africa,Maintenance and repair services n.i.e.,31/12/2018,"11,000"
Algeria,Africa,Maintenance and repair services n.i.e.,31/12/2014,"38,000"
Algeria,Africa,Transport,31/12/2018,"715,623,000"
Algeria,Africa,Transport,31/12/2019,"646,654,000"
Algeria,Africa,Transport,31/12/2016,"672,783,000"
Algeria,Africa,Transport,31/12/2017,"708,955,000"
Algeria,Africa,Transport,31/12/2013,"786,733,000"
Algeria,Africa,Transport,31/12/2014,"839,916,000"
Algeria,Africa,Transport,31/12/2015,"680,634,000"
Algeria,Africa,Transport,31/12/2020,"538,142,000"
Algeria,Africa,Transport,31/12/2021,"544,233,230"
Algeria,Africa,Sea transport,31/12/2021,"217,660,121"
Algeria,Africa,Sea transport,31/12/2016,"311,371,000"
Algeria,Africa,Sea transport,31/12/2017,"265,866,000"
Algeria,Africa,Sea transport,31/12/2018,"297,467,000"
Algeria,Africa,Sea transport,31/12/2019,"265,080,000"
Algeria,Africa,Sea transport,31/12/2020,"215,224,000"
Algeria,Africa,Sea transport,31/12/2015,"300,007,000"
Algeria,Africa,Sea transport,31/12/2013,"280,202,000"
Algeria,Africa,Sea transport,31/12/2014,"320,913,000"
Algeria,Africa,Passenger (Sea),31/12/2013,"54,780,400"
Algeria,Africa,Passenger (Sea),31/12/2017,"28,424,000"
Algeria,Africa,Passenger (Sea),31/12/2018,"28,422,000"
Algeria,Africa,Passenger (Sea),31/12/2020,"6,452,000"
Algeria,Africa,Passenger (Sea),31/12/2019,"27,853,000"
Algeria,Africa,Passenger (Sea),31/12/2016,"33,928,000"
Algeria,Africa,Passenger (Sea),31/12/2021,"6,525,030"
Algeria,Africa,Passenger (Sea),31/12/2014,"56,112,000"
Algeria,Africa,Passenger (Sea),31/12/2015,"35,004,000"
Algeria,Africa,Freight (Sea),31/12/2013,"42,196,200"
Algeria,Africa,Freight (Sea),31/12/2014,"30,592,000"
Algeria,Africa,Freight (Sea),31/12/2020,"9,060,000"
Algeria,Africa,Freight (Sea),31/12/2017,"17,964,000"
Algeria,Africa,Freight (Sea),31/12/2018,"16,620,000"
Algeria,Africa,Freight (Sea),31/12/2019,"14,562,000"
Algeria,Africa,Freight (Sea),31/12/2021,"9,162,550"
Algeria,Africa,Freight (Sea),31/12/2016,"17,273,000"
Algeria,Africa,Freight (Sea),31/12/2015,"13,081,000"
Algeria,Africa,Air transport,31/12/2018,"289,808,000"
Algeria,Africa,Air transport,31/12/2017,"257,074,000"
Algeria,Africa,Air transport,31/12/2019,"288,254,000"
Algeria,Africa,Air transport,31/12/2016,"270,355,000"
Algeria,Africa,Air transport,31/12/2021,"238,972,657"
Algeria,Africa,Air transport,31/12/2015,"249,797,000"
Algeria,Africa,Air transport,31/12/2014,"311,917,000"
Algeria,Africa,Air transport,31/12/2013,"314,284,000"
Algeria,Africa,Air transport,31/12/2020,"236,298,000"
Algeria,Africa,Passenger (Air),31/12/2014,"2,078,000"
Algeria,Africa,Passenger (Air),31/12/2020,"519,000"
Algeria,Africa,Passenger (Air),31/12/2017,"1,538,000"
Algeria,Africa,Passenger (Air),31/12/2021,"524,875"
Algeria,Africa,Passenger (Air),31/12/2015,"1,359,000"
Algeria,Africa,Passenger (Air),31/12/2013,"399,314"
Algeria,Africa,Passenger (Air),31/12/2019,"10,000"
Algeria,Africa,Passenger (Air),31/12/2016,"3,137,000"
Algeria,Africa,Passenger (Air),31/12/2018,"69,000"
Algeria,Africa,Freight (Air),31/12/2013,0
Algeria,Africa,Postal and courier services,31/12/2015,"4,742,000"
Algeria,Africa,Postal and courier services,31/12/2014,"2,825,000"
Algeria,Africa,Postal and courier services,31/12/2020,"2,470,000"
Algeria,Africa,Postal and courier services,31/12/2021,"2,497,958"
Algeria,Africa,Postal and courier services,31/12/2019,"1,035,000"
Algeria,Africa,Postal and courier services,31/12/2016,"2,439,000"
Algeria,Africa,Postal and courier services,31/12/2017,"2,877,000"
Algeria,Africa,Postal and courier services,31/12/2018,"2,018,000"
Algeria,Africa,Postal and courier services,31/12/2013,"4,139,000"
Algeria,Africa,Travel,31/12/2016,"208,718,000"
Algeria,Africa,Travel,31/12/2015,"311,254,000"
Algeria,Africa,Travel,31/12/2018,"168,492,000"
Algeria,Africa,Travel,31/12/2017,"141,170,000"
Algeria,Africa,Travel,31/12/2014,"257,792,000"
Algeria,Africa,Travel,31/12/2019,"112,426,000"
Algeria,Africa,Travel,31/12/2020,"42,811,000"
Algeria,Africa,Travel,31/12/2013,"249,591,000"
Algeria,Africa,Goods (travel),31/12/2013,0
Algeria,Africa,Business,31/12/2017,"316,000"
Algeria,Africa,Business,31/12/2020,"66,000"
Algeria,Africa,Business,31/12/2015,"911,000"
Algeria,Africa,Business,31/12/2014,"119,000"
Algeria,Africa,Business,31/12/2019,"428,000"
Algeria,Africa,Business,31/12/2016,"617,000"
Algeria,Africa,Business,31/12/2018,"2,775,000"
Algeria,Africa,Business,31/12/2013,"85,402"
Algeria,Africa,"Acquisition of goods and services by border, seasonal, and other short-term workers",31/12/2013,0
Algeria,Africa,Personal,31/12/2020,"42,745,000"
Algeria,Africa,Personal,31/12/2014,"257,673,000"
Algeria,Africa,Personal,31/12/2018,"165,716,000"
Algeria,Africa,Personal,31/12/2015,"310,343,000"
Algeria,Africa,Personal,31/12/2019,"111,999,000"
Algeria,Africa,Personal,31/12/2016,"208,100,000"
Algeria,Africa,Personal,31/12/2013,"249,505,000"
Algeria,Africa,Personal,31/12/2017,"140,854,000"
Algeria,Africa,Health-related,31/12/2015,"11,073,000"
Algeria,Africa,Health-related,31/12/2014,"4,096,000"
Algeria,Africa,Health-related,31/12/2019,"1,883,000"
Algeria,Africa,Health-related,31/12/2017,"2,952,000"
Algeria,Africa,Health-related,31/12/2020,"2,976,000"
Algeria,Africa,Health-related,31/12/2016,"4,088,000"
Algeria,Africa,Health-related,31/12/2018,"3,381,000"
Algeria,Africa,Health-related,31/12/2013,"5,853,000"
Algeria,Africa,Education-related,31/12/2016,"6,121,000"
